Location,Time,Lighting,Traffic_Density,Crime_Rate,Police_Presence,Public_Transport_Availability,CCTV_Presence,Population_Density,Safe_Road
Market Area,18:00,No lighting,0.13,0.43,0,0,0,0.81,0
University Campus,22:03,Poorly-lit,0.02,0.37,1,0,1,0.49,0
Main Road,04:33,Well-lit,0.1,0.54,1,0,1,0.22,1
Suburban Street,02:06,No lighting,0.7,0.27,1,1,0,0.41,0
University Campus,23:21,Poorly-lit,0.71,0.21,0,0,0,0.54,0
Residential Area,18:50,Well-lit,0.3,0.32,1,0,0,0.51,1
Industrial Zone,18:30,No lighting,0.4,0.59,0,0,0,0.24,0
Public Transport Hub,23:53,No lighting,0.34,0.44,1,1,1,0.8,1
Industrial Zone,18:51,Moderately-lit,0.18,0.63,0,0,0,0.22,0
Park,19:36,Poorly-lit,0.79,0.73,0,0,1,0.2,0
Industrial Zone,22:02,Poorly-lit,0.05,0.76,1,0,0,0.17,0
Main Road,01:11,No lighting,0.34,0.4,0,1,0,0.15,0
Public Transport Hub,21:15,Well-lit,0.02,0.45,0,1,0,0.75,1
Market Area,21:05,Well-lit,0.1,0.43,1,0,0,0.85,1
Main Road,00:15,Moderately-lit,0.41,0.31,1,1,1,0.14,1
Industrial Zone,02:21,Well-lit,0.3,0.83,0,1,1,0.26,1
Residential Area,21:40,Well-lit,0.26,0.25,1,0,0,0.44,1
Alleyway,18:05,Poorly-lit,0.27,0.86,1,1,0,0.17,0
University Campus,20:35,Well-lit,0.22,0.31,1,0,0,0.47,1
Park,04:08,No lighting,0.27,0.74,0,0,0,0.11,0
Main Road,18:13,Moderately-lit,0.07,0.51,0,0,0,0.27,0
Residential Area,22:04,No lighting,0.09,0.07,1,0,0,0.6,0
Industrial Zone,00:35,Poorly-lit,0.26,0.76,1,0,0,0.12,0
Market Area,03:43,Poorly-lit,0.04,0.35,1,0,0,0.74,0
Public Transport Hub,00:12,Well-lit,0.11,0.59,0,1,1,0.82,1
Alleyway,21:47,Well-lit,0.59,0.69,0,0,0,0.22,1
Industrial Zone,18:36,Poorly-lit,0.11,0.58,0,0,0,0.13,0
Industrial Zone,02:01,No lighting,0.05,0.84,0,0,1,0.13,0
Residential Area,18:57,No lighting,0.19,0.19,0,0,0,0.47,0
Residential Area,01:03,No lighting,0.47,0.25,1,1,0,0.59,0
Park,05:37,Poorly-lit,0.35,0.62,0,0,1,0.1,0
Main Road,22:22,Poorly-lit,0.4,0.29,1,1,1,0.15,1
Public Transport Hub,05:30,Poorly-lit,0.29,0.38,1,1,0,0.84,0
Park,02:58,Poorly-lit,0.08,0.51,0,0,1,0.22,0
Market Area,05:03,Moderately-lit,0.02,0.41,0,1,0,0.9,0
Main Road,21:25,Well-lit,0.35,0.54,1,1,1,0.11,1
University Campus,03:50,No lighting,0.12,0.44,1,1,0,0.54,0
Park,21:53,No lighting,0.27,0.53,1,0,0,0.28,0
Suburban Street,05:43,Moderately-lit,0.28,0.4,1,1,0,0.59,1
Suburban Street,04:51,Poorly-lit,0.05,0.26,1,0,0,0.42,0
Residential Area,03:59,No lighting,0.3,0.08,1,0,0,0.57,0
Industrial Zone,03:59,Well-lit,0.22,0.69,1,0,0,0.13,1
Main Road,02:31,Poorly-lit,0.01,0.3,1,0,1,0.28,0
Residential Area,02:33,Poorly-lit,0.01,0.06,1,0,0,0.46,0
Commercial District,01:41,Poorly-lit,0.05,0.63,1,0,1,0.74,0
Industrial Zone,04:03,Moderately-lit,0.32,0.59,0,0,1,0.11,1
Suburban Street,20:42,Moderately-lit,0.22,0.33,1,0,1,0.43,1
Alleyway,00:17,Poorly-lit,0.22,0.81,0,1,1,0.24,0
Suburban Street,02:46,Well-lit,0.06,0.32,1,0,0,0.41,1
Park,03:01,Poorly-lit,0.35,0.66,0,0,0,0.22,0
Main Road,01:39,Well-lit,0.55,0.53,0,0,1,0.18,1
Commercial District,00:11,Poorly-lit,0.07,0.54,1,0,1,0.78,0
Market Area,01:41,Well-lit,0.38,0.39,1,0,0,0.85,0
Suburban Street,22:18,Poorly-lit,0.42,0.44,1,1,0,0.47,0
Main Road,01:33,Well-lit,0.11,0.54,0,1,0,0.13,0
Commercial District,00:11,No lighting,0.36,0.6,0,1,0,0.71,0
Suburban Street,19:11,Well-lit,0.57,0.43,1,0,1,0.41,1
Residential Area,21:54,Moderately-lit,0.26,0.3,1,0,0,0.56,0
Alleyway,05:48,No lighting,0.39,0.8,1,0,0,0.22,0
Industrial Zone,23:01,Well-lit,0.15,0.63,0,0,0,0.13,0
Main Road,18:43,Moderately-lit,0.43,0.47,1,1,1,0.22,1
University Campus,18:29,No lighting,0.18,0.24,1,0,0,0.58,0
Industrial Zone,23:53,Well-lit,0.11,0.65,1,0,0,0.26,1
Market Area,18:43,Moderately-lit,0.06,0.45,0,0,1,0.85,0
Industrial Zone,19:35,Poorly-lit,0.31,0.72,0,1,0,0.14,0
Market Area,01:35,Moderately-lit,0.08,0.4,1,0,0,0.74,0
Market Area,02:52,Poorly-lit,0.16,0.47,1,0,0,0.9,0
Residential Area,01:57,Well-lit,0.06,0.08,1,0,0,0.56,1
University Campus,04:26,Moderately-lit,0.81,0.33,1,1,0,0.48,1
Market Area,18:08,Well-lit,0.07,0.33,1,1,0,0.71,1
Park,04:22,Poorly-lit,0.42,0.65,1,0,0,0.29,0
Public Transport Hub,02:32,No lighting,0.26,0.6,0,1,1,0.9,0
University Campus,00:15,Well-lit,0.35,0.15,0,0,0,0.47,1
Residential Area,02:41,Moderately-lit,0.52,0.16,1,0,0,0.59,1
Public Transport Hub,02:57,No lighting,0.33,0.5,1,1,1,0.81,1
Market Area,19:24,Well-lit,0.96,0.55,1,0,0,0.81,1
Market Area,20:51,Poorly-lit,0.46,0.3,0,0,0,0.81,0
Public Transport Hub,03:27,Moderately-lit,0.35,0.6,0,1,0,0.73,0
Main Road,19:50,Moderately-lit,0.35,0.26,1,1,1,0.11,1
Market Area,19:59,No lighting,0.03,0.48,1,0,1,0.74,0
Commercial District,23:54,Poorly-lit,0.45,0.55,1,0,0,0.79,0
Commercial District,21:53,No lighting,0.32,0.59,0,1,1,0.74,0
University Campus,00:44,Moderately-lit,0.13,0.26,1,0,1,0.48,1
Commercial District,18:42,Moderately-lit,0.21,0.54,1,1,0,0.85,1
Suburban Street,22:32,Moderately-lit,0.4,0.35,1,0,0,0.53,0
Public Transport Hub,20:43,Moderately-lit,0.34,0.54,1,1,1,0.74,1
Park,04:17,Moderately-lit,0.2,0.75,1,0,0,0.14,0
Park,02:04,No lighting,0.22,0.67,1,0,1,0.26,0
Public Transport Hub,03:18,No lighting,0.01,0.56,0,1,1,0.84,0
Alleyway,22:41,Poorly-lit,0.17,0.74,0,0,0,0.14,0
Park,03:14,No lighting,0.1,0.45,1,1,0,0.27,0
Suburban Street,01:51,Poorly-lit,0.09,0.3,0,0,1,0.43,0
Park,21:30,Poorly-lit,0.19,0.59,0,0,0,0.27,0
Market Area,22:44,Well-lit,0.02,0.39,1,0,1,0.86,1
Market Area,22:29,No lighting,0.06,0.42,1,0,0,0.82,0
Alleyway,22:10,No lighting,0.38,0.89,0,0,1,0.23,0
Park,04:15,Moderately-lit,0.19,0.63,1,0,0,0.12,0
Suburban Street,22:37,Well-lit,0.35,0.42,0,0,0,0.5,0
Industrial Zone,20:20,Moderately-lit,0.24,0.74,0,1,0,0.28,0
Main Road,03:03,Moderately-lit,0.16,0.46,0,0,1,0.15,0
Industrial Zone,04:21,Well-lit,0.37,0.83,0,1,1,0.14,1
Main Road,22:32,No lighting,0.47,0.25,1,0,0,0.16,0
Market Area,02:26,Moderately-lit,0.3,0.4,1,0,0,0.87,1
Public Transport Hub,04:06,Well-lit,0.04,0.42,0,0,1,0.74,1
University Campus,21:46,Moderately-lit,0.03,0.43,1,0,0,0.54,0
Suburban Street,01:33,Well-lit,0.81,0.33,1,1,0,0.51,0
Commercial District,22:12,Well-lit,0.09,0.58,0,1,1,0.81,1
University Campus,05:58,Moderately-lit,0.22,0.38,1,0,0,0.51,0
Commercial District,22:16,No lighting,0.12,0.43,1,1,1,0.76,1
Commercial District,04:48,Well-lit,0.29,0.56,0,1,0,0.76,0
University Campus,04:38,Poorly-lit,0.06,0.39,0,0,0,0.53,0
Alleyway,00:04,Moderately-lit,0.53,0.92,0,1,0,0.11,1
Market Area,21:21,Well-lit,0.41,0.4,1,0,1,0.88,1
Park,03:21,No lighting,0.11,0.54,0,0,0,0.26,0
Suburban Street,20:52,No lighting,0.21,0.36,0,0,0,0.6,0
Main Road,02:44,Well-lit,0.33,0.3,1,1,0,0.24,1
Public Transport Hub,00:14,Poorly-lit,0.88,0.38,1,1,0,0.76,0
Suburban Street,05:08,Moderately-lit,0.7,0.28,1,1,0,0.48,1
Suburban Street,02:08,Poorly-lit,0.34,0.29,1,1,0,0.41,0
Main Road,01:16,Poorly-lit,0.65,0.45,0,1,0,0.18,0
Suburban Street,00:55,Moderately-lit,0.12,0.42,1,0,0,0.44,0
University Campus,03:34,Poorly-lit,0.23,0.4,0,0,1,0.5,0
Suburban Street,19:06,Poorly-lit,0.03,0.41,1,0,1,0.58,0
Market Area,01:54,No lighting,0.03,0.48,0,0,1,0.84,0
Alleyway,03:33,Well-lit,0.61,0.84,1,0,0,0.11,0
Industrial Zone,04:13,No lighting,0.03,0.76,1,0,1,0.22,0
Park,01:10,Poorly-lit,0.23,0.45,1,1,0,0.16,0
University Campus,23:58,Poorly-lit,0.26,0.39,1,0,0,0.53,0
Main Road,05:25,Moderately-lit,0.14,0.48,0,0,1,0.2,0
Suburban Street,02:59,Well-lit,0.46,0.44,1,1,0,0.56,1
Residential Area,20:07,Well-lit,0.53,0.2,0,1,0,0.43,1
Residential Area,04:24,Poorly-lit,0.06,0.12,1,0,0,0.45,0
Industrial Zone,01:06,Poorly-lit,0.42,0.66,1,1,0,0.17,0
Main Road,21:35,Poorly-lit,0.13,0.48,0,1,0,0.25,0
Alleyway,18:34,Moderately-lit,0.35,0.87,0,0,0,0.25,0
Public Transport Hub,02:31,Well-lit,0.22,0.4,1,1,0,0.73,1
Suburban Street,21:56,Well-lit,0.29,0.38,1,0,0,0.52,1
Alleyway,02:11,Poorly-lit,0.2,0.95,0,0,1,0.25,0
Market Area,03:57,Moderately-lit,0.15,0.29,1,1,0,0.76,1
Commercial District,00:42,Poorly-lit,0.23,0.41,1,1,1,0.89,1
Residential Area,20:32,Well-lit,0.45,0.31,1,0,0,0.55,0
Industrial Zone,21:14,Poorly-lit,0.25,0.59,1,0,0,0.27,0
Public Transport Hub,21:42,Well-lit,0.13,0.4,1,1,1,0.72,1
Industrial Zone,03:15,Moderately-lit,0.01,0.69,1,0,1,0.12,0
Suburban Street,18:39,Well-lit,0.38,0.41,0,0,0,0.47,0
Market Area,21:41,Well-lit,0.59,0.46,0,1,0,0.72,1
Industrial Zone,21:30,Moderately-lit,0.24,0.8,0,0,0,0.29,1
Commercial District,21:00,Poorly-lit,0.24,0.41,0,1,0,0.71,0
Market Area,23:36,Well-lit,0.01,0.44,1,0,1,0.82,1
Alleyway,19:30,Moderately-lit,0.36,0.67,0,1,0,0.18,0
Park,00:57,Poorly-lit,0.44,0.52,0,0,0,0.26,0
University Campus,03:22,Moderately-lit,0.0,0.32,0,1,0,0.54,0
Industrial Zone,23:40,Poorly-lit,0.32,0.78,1,0,1,0.16,0
University Campus,04:09,No lighting,0.33,0.44,0,0,0,0.57,0
Park,00:44,No lighting,0.17,0.53,0,0,0,0.24,0
Suburban Street,20:01,Poorly-lit,0.24,0.41,1,1,0,0.53,0
Residential Area,05:08,No lighting,0.25,0.1,1,0,0,0.58,0
Residential Area,22:03,Well-lit,0.34,0.31,0,0,1,0.42,1
Industrial Zone,19:20,Poorly-lit,0.07,0.56,1,0,0,0.14,0
Public Transport Hub,23:27,No lighting,0.26,0.48,0,1,1,0.7,0
Alleyway,20:33,Moderately-lit,0.2,0.79,0,1,0,0.18,0
Commercial District,02:46,Well-lit,0.13,0.65,1,1,1,0.81,1
Industrial Zone,21:01,Moderately-lit,0.41,0.62,0,0,0,0.18,0
Suburban Street,03:14,Poorly-lit,0.26,0.35,1,0,0,0.6,0
Commercial District,02:24,No lighting,0.21,0.47,0,1,1,0.79,0
Main Road,19:43,Well-lit,0.64,0.45,0,1,1,0.17,1
Main Road,18:41,Moderately-lit,0.12,0.47,1,1,0,0.14,0
Market Area,23:36,Well-lit,0.06,0.5,0,1,1,0.89,1
Park,23:23,No lighting,0.23,0.52,0,1,1,0.17,0
Suburban Street,18:37,Poorly-lit,0.49,0.16,0,0,1,0.52,0
Commercial District,18:06,Moderately-lit,0.21,0.63,0,0,0,0.83,0
Suburban Street,05:25,Well-lit,0.17,0.31,0,0,1,0.51,1
Market Area,19:26,Well-lit,0.13,0.5,1,1,1,0.71,1
Industrial Zone,22:27,Moderately-lit,0.08,0.62,0,0,0,0.24,0
Industrial Zone,02:57,Moderately-lit,0.36,0.84,1,0,1,0.2,0
University Campus,02:41,Poorly-lit,0.59,0.42,0,0,1,0.46,0
Residential Area,02:13,Poorly-lit,0.24,0.22,1,0,0,0.5,0
Market Area,19:20,Well-lit,0.12,0.44,1,0,1,0.75,1
Alleyway,22:39,Moderately-lit,0.51,0.83,0,0,0,0.23,0
Park,23:56,Moderately-lit,0.06,0.51,0,0,0,0.17,0
Main Road,20:24,No lighting,0.2,0.33,1,0,0,0.22,0
Park,18:59,No lighting,0.34,0.72,0,0,0,0.16,0
Alleyway,05:41,Moderately-lit,0.48,0.94,0,0,0,0.16,0
Alleyway,00:03,Moderately-lit,0.14,0.66,1,0,1,0.28,0
Commercial District,22:55,No lighting,0.14,0.57,1,1,1,0.71,1
Park,20:00,Well-lit,0.28,0.56,1,1,0,0.25,1
Park,05:15,Moderately-lit,0.46,0.61,0,1,0,0.2,0
Suburban Street,02:52,Well-lit,0.24,0.23,1,0,1,0.51,0
Alleyway,23:23,Moderately-lit,0.16,0.91,1,0,0,0.13,0
Alleyway,01:19,Moderately-lit,0.0,0.93,0,0,0,0.18,0
Commercial District,21:13,No lighting,0.27,0.43,0,1,0,0.71,0
Park,21:36,Poorly-lit,0.18,0.66,0,1,0,0.23,0
Main Road,05:21,Poorly-lit,0.51,0.36,1,1,1,0.22,1
Public Transport Hub,05:24,Moderately-lit,0.93,0.62,1,1,1,0.78,1
Residential Area,04:26,Poorly-lit,0.26,0.19,1,1,0,0.52,0
Suburban Street,05:12,No lighting,0.68,0.34,0,1,0,0.43,0
Residential Area,00:04,Poorly-lit,0.3,0.09,1,1,0,0.55,1
Main Road,00:57,Poorly-lit,0.68,0.29,1,1,0,0.26,0
Residential Area,21:13,No lighting,0.45,0.15,1,0,0,0.48,0
Main Road,18:51,Moderately-lit,0.01,0.41,0,1,0,0.15,0
Main Road,04:07,Poorly-lit,0.54,0.43,1,1,0,0.15,0
Suburban Street,03:35,Poorly-lit,0.37,0.45,1,0,0,0.43,0
Park,03:15,Well-lit,0.31,0.56,0,1,0,0.28,1
University Campus,02:25,Moderately-lit,0.09,0.37,1,0,0,0.41,0
Commercial District,20:44,Well-lit,0.48,0.56,0,1,1,0.84,1
Public Transport Hub,20:12,No lighting,0.15,0.61,0,1,1,0.86,0
University Campus,19:40,Moderately-lit,0.13,0.45,0,0,0,0.53,0
Market Area,04:25,Well-lit,0.46,0.5,0,1,0,0.76,1
Alleyway,02:07,Well-lit,0.38,0.79,1,0,1,0.3,1
Public Transport Hub,23:27,Poorly-lit,0.21,0.39,1,1,1,0.81,1
Alleyway,19:46,Poorly-lit,0.08,0.79,0,0,1,0.25,0
Commercial District,03:23,No lighting,0.13,0.35,1,1,0,0.75,0
Market Area,22:14,Moderately-lit,0.01,0.49,0,0,0,0.74,0
Alleyway,01:11,Well-lit,0.33,0.8,0,0,1,0.12,0
Commercial District,02:17,No lighting,0.51,0.6,0,1,1,0.85,0
Main Road,03:28,Well-lit,0.26,0.48,1,1,1,0.25,1
Suburban Street,18:05,Poorly-lit,0.63,0.4,0,0,0,0.4,0
University Campus,01:04,Well-lit,0.11,0.16,1,1,0,0.42,1
Main Road,01:48,No lighting,0.23,0.26,1,1,1,0.26,1
Alleyway,22:50,Poorly-lit,0.15,0.8,0,1,0,0.29,0
Public Transport Hub,21:46,Well-lit,0.0,0.6,0,1,1,0.76,1
Public Transport Hub,21:29,Well-lit,0.32,0.57,0,1,1,0.74,1
Alleyway,22:18,Well-lit,0.08,0.86,0,0,0,0.12,1
Residential Area,20:23,Moderately-lit,0.02,0.32,1,0,0,0.54,0
Industrial Zone,01:09,Moderately-lit,0.23,0.79,0,0,0,0.14,0
Suburban Street,05:57,Moderately-lit,0.2,0.44,1,0,0,0.47,0
Market Area,19:36,Well-lit,0.12,0.46,1,0,0,0.84,1
Residential Area,05:54,Well-lit,0.07,0.28,0,0,0,0.43,1
Industrial Zone,20:10,Well-lit,0.05,0.57,1,0,0,0.22,1
Suburban Street,01:24,Poorly-lit,0.31,0.36,1,0,0,0.5,0
Main Road,22:37,Well-lit,0.24,0.53,0,1,1,0.28,1
University Campus,02:13,No lighting,0.25,0.22,1,0,1,0.49,0
Public Transport Hub,20:42,No lighting,0.05,0.36,1,1,1,0.77,1
Park,02:02,Moderately-lit,0.06,0.64,1,0,1,0.17,0
Main Road,03:18,Well-lit,0.09,0.4,0,0,0,0.2,0
Park,05:32,Well-lit,0.17,0.6,1,0,0,0.24,0
Industrial Zone,18:21,Well-lit,0.04,0.58,1,1,0,0.28,1
Market Area,04:17,Poorly-lit,0.07,0.41,1,0,0,0.77,0
Residential Area,18:49,Well-lit,0.31,0.31,1,1,1,0.49,1
Industrial Zone,21:18,Well-lit,0.16,0.74,0,0,0,0.16,1
Industrial Zone,20:40,No lighting,0.38,0.82,0,0,1,0.16,0
Suburban Street,23:39,Moderately-lit,0.29,0.17,0,0,0,0.53,0
Suburban Street,05:32,Well-lit,0.23,0.21,1,0,0,0.45,1
University Campus,21:18,No lighting,0.13,0.43,1,0,1,0.4,0
Commercial District,18:44,No lighting,0.06,0.59,1,1,1,0.71,1
Alleyway,01:53,Well-lit,0.49,0.93,1,1,0,0.22,1
Public Transport Hub,18:21,Moderately-lit,0.35,0.58,1,0,1,0.8,1
Public Transport Hub,21:12,Moderately-lit,0.08,0.6,0,1,1,0.84,1
Alleyway,19:44,Poorly-lit,0.34,0.72,0,0,0,0.15,1
Main Road,20:20,Moderately-lit,0.0,0.52,0,1,1,0.22,0
Park,03:20,Moderately-lit,0.15,0.67,0,1,0,0.28,0
Commercial District,20:54,No lighting,0.03,0.38,1,1,0,0.82,0
Alleyway,22:58,Well-lit,0.39,0.81,0,0,0,0.13,0
Alleyway,22:26,Moderately-lit,0.23,0.67,0,0,1,0.16,0
Main Road,19:01,Poorly-lit,0.41,0.52,0,1,0,0.16,0
Industrial Zone,23:41,Poorly-lit,0.52,0.69,1,0,1,0.3,0
Industrial Zone,21:36,No lighting,0.12,0.84,0,0,0,0.22,0
Suburban Street,22:14,No lighting,0.27,0.3,1,0,0,0.5,0
Main Road,22:41,Well-lit,0.14,0.37,1,1,1,0.15,1
Industrial Zone,04:16,Moderately-lit,0.49,0.83,0,0,1,0.13,0
Market Area,21:43,No lighting,0.25,0.53,0,1,0,0.9,0
Commercial District,03:04,Well-lit,0.13,0.45,1,1,0,0.83,1
Commercial District,18:56,Poorly-lit,0.41,0.5,0,1,1,0.74,0
Alleyway,05:02,No lighting,0.52,0.79,0,0,0,0.17,0
Residential Area,03:59,Poorly-lit,0.06,0.18,1,1,0,0.57,0
University Campus,03:50,No lighting,0.02,0.41,0,0,0,0.54,0
Industrial Zone,23:36,No lighting,0.21,0.6,1,1,1,0.19,0
Residential Area,00:31,Well-lit,0.13,0.22,1,0,0,0.44,1
Public Transport Hub,18:41,Well-lit,0.4,0.45,1,0,1,0.74,1
Suburban Street,22:19,No lighting,0.06,0.42,0,0,0,0.57,0
Residential Area,23:14,Moderately-lit,0.34,0.32,1,0,0,0.41,0
Alleyway,19:35,No lighting,0.44,0.78,1,0,0,0.15,0
Public Transport Hub,19:54,Moderately-lit,0.22,0.57,0,1,0,0.76,0
Park,05:12,Moderately-lit,0.18,0.71,0,0,0,0.15,0
Residential Area,02:13,Poorly-lit,0.41,0.06,1,0,0,0.47,1
Suburban Street,01:44,Well-lit,0.01,0.21,1,0,0,0.53,1
Commercial District,19:58,No lighting,0.29,0.36,1,0,1,0.74,0
University Campus,18:48,Poorly-lit,0.16,0.22,1,0,0,0.59,0
Alleyway,01:20,Moderately-lit,0.33,0.87,0,0,0,0.28,0
Alleyway,18:06,Well-lit,0.1,0.81,0,1,1,0.3,1
Park,03:09,No lighting,0.28,0.7,1,0,1,0.29,0
Main Road,23:22,Poorly-lit,0.57,0.41,1,1,1,0.13,0
Market Area,05:17,Well-lit,0.51,0.28,1,0,0,0.78,1
Suburban Street,18:50,Well-lit,0.33,0.21,1,0,0,0.53,1
Public Transport Hub,02:02,Moderately-lit,0.11,0.53,1,1,0,0.81,1
University Campus,23:10,Poorly-lit,0.01,0.37,1,1,0,0.54,0
Public Transport Hub,00:59,Moderately-lit,0.31,0.55,0,1,1,0.73,0
Residential Area,18:09,Moderately-lit,0.22,0.28,1,0,0,0.54,0
Commercial District,22:54,No lighting,0.46,0.52,0,1,1,0.73,0
Main Road,03:12,Moderately-lit,0.46,0.32,1,1,0,0.14,1
University Campus,05:12,Well-lit,0.02,0.42,1,0,0,0.4,1
Public Transport Hub,19:09,Well-lit,0.34,0.4,0,1,1,0.83,1
Alleyway,04:42,No lighting,0.21,0.66,1,0,1,0.29,0
Industrial Zone,00:46,Moderately-lit,0.15,0.6,1,0,0,0.21,0
Market Area,18:46,Well-lit,0.28,0.45,1,0,0,0.87,1
Industrial Zone,22:51,Poorly-lit,0.21,0.78,0,0,0,0.19,1
Suburban Street,20:57,Well-lit,0.32,0.28,1,0,0,0.47,1
Commercial District,19:49,Moderately-lit,0.21,0.38,1,1,1,0.85,1
Market Area,21:37,Well-lit,0.26,0.52,1,1,0,0.74,1
Market Area,20:34,No lighting,0.48,0.43,1,1,0,0.76,0
Residential Area,01:23,No lighting,0.51,0.27,1,0,1,0.4,0
Commercial District,22:21,Moderately-lit,0.07,0.49,0,1,1,0.8,0
Alleyway,19:05,Well-lit,0.08,0.85,0,0,0,0.28,0
Suburban Street,02:35,Poorly-lit,0.26,0.35,0,0,1,0.43,0
University Campus,19:28,No lighting,0.07,0.29,0,0,1,0.43,0
Public Transport Hub,05:35,Well-lit,0.64,0.58,1,1,1,0.76,1
Main Road,18:56,Poorly-lit,0.05,0.29,0,1,1,0.22,0
Market Area,21:46,Poorly-lit,0.06,0.51,1,0,0,0.85,0
Market Area,19:55,No lighting,0.25,0.49,1,0,1,0.74,0
Park,21:41,Well-lit,0.36,0.5,0,1,0,0.27,1
Park,01:34,No lighting,0.55,0.56,1,0,0,0.25,0
Suburban Street,00:55,Moderately-lit,0.43,0.28,1,1,0,0.44,0
Residential Area,22:30,No lighting,0.16,0.24,1,0,0,0.44,1
Market Area,02:28,Well-lit,0.48,0.41,0,1,1,0.73,1
University Campus,20:16,Moderately-lit,0.31,0.33,1,0,0,0.52,0
Suburban Street,19:57,Moderately-lit,0.08,0.27,1,0,1,0.5,1
Industrial Zone,01:36,No lighting,0.42,0.59,1,1,0,0.12,0
Main Road,19:23,No lighting,0.37,0.51,1,1,1,0.15,0
Alleyway,00:07,Well-lit,0.06,0.83,0,0,1,0.23,0
Industrial Zone,18:04,Well-lit,0.32,0.59,1,0,0,0.18,1
Suburban Street,05:45,Poorly-lit,0.04,0.23,1,0,0,0.51,0
Main Road,03:43,Poorly-lit,0.08,0.44,0,0,0,0.12,0
Residential Area,00:35,No lighting,0.42,0.3,1,0,0,0.58,0
Industrial Zone,05:52,No lighting,0.27,0.78,0,1,1,0.25,0
University Campus,02:52,Poorly-lit,0.17,0.24,1,1,1,0.51,1
Main Road,04:23,Moderately-lit,0.3,0.53,1,1,0,0.23,0
Park,05:00,No lighting,0.13,0.48,0,0,0,0.11,0
Main Road,23:16,Poorly-lit,0.0,0.54,0,0,1,0.15,0
Suburban Street,04:47,No lighting,0.2,0.36,1,0,0,0.44,0
Industrial Zone,00:23,Moderately-lit,0.04,0.73,1,1,0,0.2,0
Industrial Zone,19:18,Poorly-lit,0.36,0.64,1,1,1,0.21,0
Main Road,02:51,No lighting,0.01,0.35,1,1,1,0.23,1
Suburban Street,19:35,Well-lit,0.2,0.42,0,1,0,0.51,1
Commercial District,05:42,No lighting,0.1,0.48,1,1,1,0.75,1
Main Road,04:02,Moderately-lit,0.09,0.29,0,1,1,0.2,0
Industrial Zone,04:00,No lighting,0.24,0.65,0,1,0,0.11,0
Main Road,01:48,No lighting,0.01,0.5,0,1,1,0.18,0
University Campus,23:19,No lighting,0.15,0.42,1,1,1,0.59,1
Main Road,19:02,Well-lit,0.04,0.33,0,0,1,0.26,1
Industrial Zone,18:20,Poorly-lit,0.09,0.76,0,1,0,0.11,0
Industrial Zone,01:07,Poorly-lit,0.49,0.61,1,1,0,0.24,0
Residential Area,03:45,Well-lit,0.56,0.16,1,0,0,0.54,1
Commercial District,21:35,Well-lit,0.27,0.53,1,1,1,0.74,0
Industrial Zone,21:38,Well-lit,0.44,0.56,0,0,0,0.27,0
Suburban Street,01:44,Poorly-lit,0.73,0.32,0,0,0,0.53,0
Main Road,03:39,No lighting,0.38,0.27,1,0,0,0.27,0
Alleyway,22:46,Poorly-lit,0.19,0.94,0,1,0,0.19,0
Residential Area,03:41,Poorly-lit,0.58,0.16,1,1,0,0.53,0
Public Transport Hub,23:54,No lighting,0.24,0.42,0,1,1,0.81,0
Alleyway,20:06,Well-lit,0.36,0.91,0,0,0,0.14,0
Main Road,21:06,Well-lit,0.42,0.47,0,1,0,0.15,1
Public Transport Hub,03:29,Well-lit,0.32,0.47,1,1,1,0.81,1
Residential Area,23:35,Moderately-lit,0.15,0.19,1,0,1,0.48,1
University Campus,00:20,Well-lit,0.05,0.35,1,1,0,0.42,1
Market Area,21:06,Moderately-lit,0.3,0.54,1,0,1,0.78,1
Market Area,00:45,Moderately-lit,0.39,0.51,0,1,1,0.82,1
Alleyway,02:10,Moderately-lit,0.34,0.74,0,1,0,0.28,0
University Campus,00:11,Well-lit,0.09,0.19,1,0,0,0.59,1
Suburban Street,23:10,No lighting,0.03,0.17,1,0,0,0.42,0
Residential Area,20:59,Poorly-lit,0.12,0.1,1,0,1,0.52,1
Main Road,01:58,Moderately-lit,0.42,0.34,1,1,0,0.29,1
Market Area,23:05,Poorly-lit,0.74,0.52,0,0,0,0.8,1
Suburban Street,23:45,No lighting,0.7,0.44,1,0,0,0.53,0
Commercial District,00:28,Well-lit,0.44,0.45,1,1,1,0.86,1
Industrial Zone,05:01,Poorly-lit,0.23,0.65,1,1,1,0.23,0
Suburban Street,21:53,Well-lit,0.06,0.35,1,0,0,0.42,1
Market Area,02:28,Well-lit,0.01,0.43,0,0,0,0.86,1
Market Area,20:41,Poorly-lit,0.03,0.28,1,1,0,0.84,1
Park,03:52,Moderately-lit,0.09,0.49,0,0,1,0.11,0
Public Transport Hub,21:05,No lighting,0.52,0.48,0,0,1,0.74,0
Industrial Zone,03:05,Moderately-lit,0.1,0.7,0,0,1,0.29,0
Industrial Zone,22:40,Moderately-lit,0.02,0.66,1,0,1,0.28,0
Industrial Zone,18:51,Well-lit,0.06,0.79,0,0,0,0.23,0
Industrial Zone,02:34,Moderately-lit,0.03,0.79,0,0,0,0.17,0
Market Area,20:56,Poorly-lit,0.08,0.37,1,1,0,0.79,0
Park,04:44,Poorly-lit,0.71,0.46,1,0,0,0.21,0
Commercial District,23:51,Moderately-lit,0.11,0.46,0,1,1,0.82,1
Commercial District,22:00,Moderately-lit,0.29,0.55,0,1,0,0.74,0
